"Ring","Colony","Sp","geo_trip","Migration","complete","year_dep","B_dep","WA_arr","WA_dep","BA_arr","B_dep_jul","WA_arr_jul","WA_dep_jul","BA_arr_jul","WA"
"FS56059","France","PUFYEL","1706001001","Resident","Complete",2006,NA,NA,NA,NA,NA,NA,NA,NA,"Western Mediterranean"
"FS56059","France","PUFYEL","1706001002","Resident","Complete",2007,NA,NA,NA,NA,NA,NA,NA,NA,"Western Mediterranean"
"5056077","Mallorca","PUFMAU","17075001001","Migrant","Complete",2012,"2012-04-28","2012-07-08","2012-09-19","2012-09-24",52,NA,NA,NA,"South European Atlantic Shelf"
"5120247","Minorca","PUFYEL","17079001001","Migrant","Uncomplete",2012,NA,"2012-06-10",NA,NA,NA,95,NA,NA,"Alboran Sea"
"FT67725","France","PUFYEL","1711001001","Migrant","Complete",2006,"2006-06-13","2006-07-25","2006-10-28","2006-10-31",91,133,228,231,"Western Mediterranean"
"5056093","Mallorca","PUFMAU","17130001001","Migrant","Complete",2012,"2012-05-02","2012-07-15","2012-09-13","2012-09-20",56,130,190,196,"Saharan Upwelling"
"5107125","Mallorca","PUFMAU","18A571001001","Migrant","Complete",2012,"2012-04-28","2012-06-15","2012-09-15","2012-10-12",52,100,192,215,"South European Atlantic Shelf"
"5043573","Mallorca","PUFMAU","22081001001","Migrant","Uncomplete",2010,"2010-05-06","2011-01-22","2011-03-14",NA,38,309,360,181,"South European Atlantic Shelf"
"5048326","Mallorca","PUFMAU","22082001001","Migrant","Complete",2010,"2010-04-29","2010-06-24","2010-10-18","2010-11-09",31,87,203,181,"South European Atlantic Shelf"
"5068669","Mallorca","PUFMAU","22082002001","Migrant","Uncomplete",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5048324","Mallorca","PUFMAU","22084001001","Migrant","Complete",2010,"2010-04-26","2010-06-28","2010-10-11","2010-10-17",28,91,196,175,"South European Atlantic Shelf"
"5107123","Mallorca","PUFMAU","22085001001","Migrant","Complete",2011,"2011-04-29",NA,NA,NA,41,NA,NA,NA,"South European Atlantic Shelf"
"5107123","Mallorca","PUFMAU","22085002001","Migrant","Complete",2010,"2010-05-03","2010-06-06","2010-10-12","2010-10-25",35,69,197,207,"South European Atlantic Shelf"
"5107134","Mallorca","PUFMAU","22086001001","Migrant","Complete",2010,"2010-05-02","2010-07-10","2010-11-02","2010-11-16",34,103,218,217,"South European Atlantic Shelf"
"5107134","Mallorca","PUFMAU","22086002001","Migrant","Uncomplete",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5068560","Mallorca","PUFMAU","22087001001","Migrant","Complete",2010,"2010-05-04","2010-07-03","2010-09-09","2010-09-17",36,96,164,172,"South European Atlantic Shelf"
"5068560","Mallorca","PUFMAU","22087002001","Migrant","Uncomplete",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5073663","Mallorca","PUFMAU","22089001001","Migrant","Complete",2010,"2010-05-03","2010-06-28","2010-09-17","2010-09-25",35,91,172,180,"Saharan Upwelling"
"5107123","Mallorca","PUFMAU","22091001001","Migrant","Complete",2012,"2012-05-02","2012-05-31","2012-09-12","2012-09-16",56,85,189,193,"South European Atlantic Shelf"
"5107137","Mallorca","PUFMAU","22091002001","Migrant","Complete",2010,"2010-05-17","2010-07-20","2010-10-09","2010-10-18",49,113,194,196,"South European Atlantic Shelf"
"5107137","Mallorca","PUFMAU","22091003001","Migrant","Complete",2011,"2011-04-27","2011-07-10","2011-08-20","2011-11-08",39,113,154,226,"South European Atlantic Shelf"
"5085636","Mallorca","PUFMAU","22092001001","Migrant","Uncomplete",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5068532","Mallorca","PUFMAU","22093001001","Migrant","Complete",2010,"2010-05-19","2010-06-02","2010-09-14","2010-10-23",51,65,169,187,"South European Atlantic Shelf"
"5068507","Mallorca","PUFMAU","22094001001","Migrant","Complete",2010,"2010-05-01","2010-07-02","2010-09-13","2010-09-24",33,95,168,179,"South European Atlantic Shelf"
"TJ3255","Sardinia","PUFYEL","22151001","Resident","Complete",2010,"2010-05-04",NA,NA,NA,36,NA,NA,NA,"Western Mediterranean"
"TJ3257","Sardinia","PUFYEL","22153001","Migrant","Complete",2010,"2010-06-05","2010-07-22","2010-11-15","2010-12-07",68,115,231,253,"Black Sea"
"TJ3258","Sardinia","PUFYEL","22154001","Resident","Complete",2010,"2010-05-03",NA,NA,NA,35,NA,NA,NA,"Adriatic Sea"
"TJ3259","Sardinia","PUFYEL","22155001","Resident","Complete",2010,"2010-05-04",NA,NA,NA,36,NA,NA,NA,"Western Mediterranean"
"TJ3262","Sardinia","PUFYEL","22157001","Migrant","Complete",2010,"2010-06-15","2010-07-30","2010-11-25","2010-12-07",78,123,241,253,"Black Sea"
"TJ3263","Sardinia","PUFYEL","22158001","Migrant","Complete",2010,"2010-04-28","2010-06-13","2010-12-09","2010-12-19",30,76,255,265,"Black Sea"
"TJ3261","Sardinia","PUFYEL","22159001","Resident","Complete",2010,"2010-06-03",NA,NA,NA,66,NA,NA,NA,"Western Mediterranean"
"TJ3264","Sardinia","PUFYEL","22160001","Resident","Complete",2010,"2010-07-03",NA,NA,NA,96,NA,NA,NA,"Western Mediterranean"
"TJ3265","Sardinia","PUFYEL","22161001","Migrant","Uncomplete",2010,"2010-05-05","2010-07-21","2011-01-28",NA,37,114,315,327,"Black Sea"
"TA2209","Sardinia","PUFYEL","22162001","Migrant","Complete",2010,"2010-07-10","2010-09-27","2010-11-28","2010-12-05",103,182,244,251,"Western Mediterranean"
"5042865","Mallorca","PUFMAU","22180001001","Migrant","Complete",2010,"2010-05-05","2010-06-04","2010-10-17","2010-10-20",37,67,202,205,"South European Atlantic Shelf"
"5073591","Mallorca","PUFMAU","22181001001","Migrant","Complete",2010,"2010-04-30","2010-06-25","2010-09-19","2010-09-23",32,88,174,178,"South European Atlantic Shelf"
"5073591","Mallorca","PUFMAU","22181002001","Migrant","Complete",2011,"2011-04-26","2011-08-28","2011-10-07","2011-10-15",38,162,202,210,"South European Atlantic Shelf"
"5107137","Mallorca","PUFMAU","22181003001","Migrant","Complete",2012,"2012-05-01","2012-07-13","2012-10-13","2012-10-19",55,128,220,224,"South European Atlantic Shelf"
"5068669","Mallorca","PUFMAU","22182001001","Migrant","Complete",2010,"2010-04-25","2010-06-23","2010-09-24","2010-10-01",27,86,179,183,"South European Atlantic Shelf"
"5068669","Mallorca","PUFMAU","22182002001","Migrant","Complete",2011,"2011-04-20","2011-06-25","2011-09-30","2011-11-08",32,98,195,234,"South European Atlantic Shelf"
"5107124","Mallorca","PUFMAU","22183001001","Migrant","Complete",2011,"2011-04-20","2011-06-20","2011-10-05","2011-10-30",32,93,200,186,"South European Atlantic Shelf"
"5107124","Mallorca","PUFMAU","22183002001","Migrant","Complete",2011,"2011-04-20","2011-06-20","2011-09-10","2011-09-13",32,93,175,178,"South European Atlantic Shelf"
"5068661","Mallorca","PUFMAU","22184001001","Migrant","Complete",2010,"2010-05-02","2010-07-03","2010-10-26","2010-11-03",34,96,211,183,"South European Atlantic Shelf"
"5068661","Mallorca","PUFMAU","22184002001","Migrant","Complete",2011,"2011-04-28","2011-07-03","2011-09-24","2011-10-06",40,106,189,198,"South European Atlantic Shelf"
"5073698","Mallorca","PUFMAU","22186001001","Migrant","Complete",2012,"2012-04-29","2012-07-08",NA,NA,53,NA,NA,NA,"South European Atlantic Shelf"
"5073698","Mallorca","PUFMAU","22186002001","Migrant","Complete",2010,"2010-05-02","2010-07-10","2010-08-22","2010-11-02",34,103,146,210,"South European Atlantic Shelf"
"5073698","Mallorca","PUFMAU","22186003001","Migrant","Complete",2011,"2011-04-17","2011-06-26","2011-10-01","2011-10-28",29,99,196,217,"South European Atlantic Shelf"
"5107127","Mallorca","PUFMAU","22187001001","Migrant","Uncomplete",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5107127","Mallorca","PUFMAU","22187002001","Migrant","Complete",2010,"2010-05-02","2010-06-27","2010-09-20","2010-09-25",34,90,175,178,"South European Atlantic Shelf"
"5068571","Mallorca","PUFMAU","22188001001","Migrant","Complete",2010,"2010-05-01","2010-06-30","2010-10-10","2010-11-16",33,93,195,209,"South European Atlantic Shelf"
"5068889","Mallorca","PUFMAU","22189001001","Migrant","Complete",2010,"2010-05-07","2010-09-15","2010-10-14","2010-11-03",39,170,199,171,"South European Atlantic Shelf"
"5056093","Mallorca","PUFMAU","22190001001","Migrant","Complete",2010,"2010-05-09","2010-07-05","2010-09-24","2010-09-28",41,98,179,183,"South European Atlantic Shelf"
"5056093","Mallorca","PUFMAU","22190002001","Migrant","Complete",2011,"2011-05-02","2011-06-26","2011-10-16","2011-11-05",44,99,211,231,"South European Atlantic Shelf"
"5042872","Mallorca","PUFMAU","22191001001","Migrant","Complete",2010,"2010-04-26","2010-07-06","2010-09-23","2010-10-16",28,99,178,186,"South European Atlantic Shelf"
"5067773","Mallorca","PUFMAU","22192001001","Migrant","Complete",2010,"2010-05-02","2010-06-28","2010-09-20","2010-09-25",34,91,175,180,"South European Atlantic Shelf"
"5067773","Mallorca","PUFMAU","22192002001","Migrant","Complete",2011,"2011-05-09","2011-05-16","2011-08-30","2011-10-25",51,58,164,181,"South European Atlantic Shelf"
"5068651","Mallorca","PUFMAU","22193001001","Migrant","Complete",2010,"2010-05-19","2010-06-03","2010-10-16","2010-11-11",51,66,201,176,"South European Atlantic Shelf"
"5068651","Mallorca","PUFMAU","22193002001","Migrant","Complete",2011,"2011-04-21","2011-07-06","2011-10-16","2011-12-10",33,109,211,222,"South European Atlantic Shelf"
"5085438","Mallorca","PUFMAU","22194001001","Migrant","Complete",2010,"2010-05-05","2010-07-09","2010-10-24","2010-11-06",37,102,209,220,"South European Atlantic Shelf"
"5085438","Mallorca","PUFMAU","22194002001","Migrant","Complete",2011,"2011-05-10","2011-05-27","2011-08-18","2012-01-06",52,69,152,206,"South European Atlantic Shelf"
"5085438","Mallorca","PUFMAU","22194003001","Migrant","Complete",2012,"2012-05-01","2012-07-05","2012-10-23","2012-10-28",55,120,230,235,"South European Atlantic Shelf"
"5056077","Mallorca","PUFMAU","22197001001","Migrant","Complete",2010,"2010-05-01","2010-07-06","2010-09-13","2010-10-24",33,99,168,183,"South European Atlantic Shelf"
"5056077","Mallorca","PUFMAU","22197002001","Migrant","Complete",2011,"2011-05-10","2011-05-29","2011-08-31","2011-09-04",52,71,165,168,"South European Atlantic Shelf"
"5042985","Mallorca","PUFMAU","22199001001","Migrant","Complete",2010,"2010-04-29","2010-09-18","2010-10-16","2010-10-31",31,173,201,179,"South European Atlantic Shelf"
"5042985","Mallorca","PUFMAU","22199002001","Migrant","Complete",2011,"2011-04-22","2011-07-10","2011-09-01","2011-09-29",34,113,166,168,"South European Atlantic Shelf"
"5120248","Minorca","PUFYEL","23026001001","Resident","Complete",2011,"2011-05-13",NA,NA,NA,55,NA,NA,NA,"Western Mediterranean"
"5086041","Minorca","PUFYEL","23028001001","Resident","Complete",2013,"2013-07-10",NA,NA,NA,106,NA,NA,NA,"Western Mediterranean"
"5120242","Mallorca","PUFMAU","23031001001","Migrant","Uncomplete",2011,"2011-05-05","2011-05-22","2011-09-02",NA,47,64,167,189,"South European Atlantic Shelf"
"5120247","Minorca","PUFYEL","23032001001","Resident","Complete",2013,"2013-05-30",NA,NA,NA,65,NA,NA,NA,"Western Mediterranean"
"5086039","Minorca","PUFYEL","23041001001","Migrant","Complete",2013,"2013-06-27","2013-08-09","2013-10-07","2013-10-17",93,136,195,205,"South European Atlantic Shelf"
"5120249","Minorca","PUFYEL","23044001001","Resident","Complete",2011,"2011-05-14",NA,NA,NA,56,NA,NA,NA,"Western Mediterranean"
"5043245","Minorca","PUFYEL","23044002001","Resident","Complete",2012,"2012-05-24",NA,NA,NA,78,NA,NA,NA,"Western Mediterranean"
"5120246","Minorca","PUFYEL","23044003001","Migrant","Complete",2013,NA,"2013-07-18","2013-10-04","2013-11-05",NA,114,192,224,"South European Atlantic Shelf"
"5085454","Mallorca","PUFMAU","B044001001","Migrant","Complete",2012,"2012-06-28","2012-07-05","2012-11-13","2012-11-27",113,NA,NA,NA,"South European Atlantic Shelf"
"5085478","Mallorca","PUFMAU","B050001001","Migrant","Complete",2012,"2012-05-03","2012-07-11","2012-10-10","2012-10-15",57,126,217,222,"Alboran Sea"
"FX17945","France","PUFYEL","BAS-1001","Migrant","Complete",2012,NA,"2012-11-15","2012-12-07","2012-12-16",NA,253,275,284,"Aegean Sea"
"FS74249","France","PUFYEL","BAS-11001","Resident","Uncomplete",2012,NA,NA,NA,NA,NA,NA,NA,NA,"Western Mediterranean"
"FS74234","France","PUFYEL","BAS-12001","Resident","Complete",2012,"2012-06-06",NA,NA,NA,91,NA,NA,NA,"Western Mediterranean"
"FS77825","France","PUFYEL","BAS-13001","Resident","Complete",2012,NA,NA,NA,NA,NA,NA,NA,NA,"Western Mediterranean"
"FS75442","France","PUFYEL","BAS-14001","Resident","Complete",2012,NA,NA,NA,NA,NA,NA,NA,NA,"Western Mediterranean"
"FS56065","France","PUFYEL","BAS-15001","Migrant","Complete",2012,"2012-06-27","2012-07-02","2012-09-01","2012-09-20",112,117,178,197,"Alboran Sea"
"FS75406","France","PUFYEL","BAS-16001","Resident","Complete",2012,"2012-06-10",NA,NA,NA,95,NA,NA,NA,"Western Mediterranean"
"FS77817","France","PUFYEL","BAS-17001","Resident","Complete",2012,NA,NA,NA,NA,NA,NA,NA,NA,"Western Mediterranean"
"FS74205","France","PUFYEL","BAS-18001","Resident","Complete",2012,"2012-06-01",NA,NA,NA,86,NA,NA,NA,"Western Mediterranean"
"FS94953","France","PUFYEL","BAS-19001","Resident","Complete",2012,"2012-06-02",NA,NA,NA,87,NA,NA,NA,"Western Mediterranean"
"FS56074","France","PUFYEL","BAS-20001","Resident","Complete",2012,NA,NA,NA,NA,NA,NA,NA,NA,"Western Mediterranean"
"FS74207","France","PUFYEL","BAS-2001","Resident","Complete",2012,NA,NA,NA,NA,NA,NA,NA,NA,"Western Mediterranean"
"FT90347","France","PUFYEL","BAS-21001","Migrant","Uncomplete",2012,"2012-06-04","2012-10-24","2013-01-06",NA,89,231,286,299,"Black Sea"
"FT67757","France","PUFYEL","BAS-22001","Resident","Complete",2012,NA,NA,NA,NA,NA,NA,NA,NA,"Western Mediterranean"
"FS77842","France","PUFYEL","BAS-23081001","Resident","Complete",2011,"2011-05-27",NA,NA,NA,69,NA,NA,NA,"Western Mediterranean"
"FS21145","France","PUFYEL","BAS-23083001","Migrant","Complete",2011,"2011-05-21","2011-05-30","2011-08-28","2011-11-20",63,72,162,212,"Western Mediterranean"
"FS21145","France","PUFYEL","BAS-23083002","Migrant","Complete",2012,NA,"2012-06-01","2012-09-08","2012-10-29",NA,86,185,236,"Alboran Sea"
"FT85293","France","PUFYEL","BAS-23084001","Resident","Complete",2011,NA,NA,NA,NA,NA,NA,NA,NA,"Western Mediterranean"
"FT67757","France","PUFYEL","BAS-23085001","Resident","Complete",2011,"2011-05-28",NA,NA,NA,70,NA,NA,NA,"Western Mediterranean"
"FT67709","France","PUFYEL","BAS-23086001","Resident","Complete",2011,NA,NA,NA,NA,NA,NA,NA,NA,"Western Mediterranean"
"FS56067","France","PUFYEL","BAS-23087001","Migrant","Complete",2011,NA,"2011-07-08","2011-10-18","2011-11-17",NA,111,213,243,"Western Mediterranean"
"FS74207","France","PUFYEL","BAS-23088001","Resident","Complete",2011,"2011-05-22",NA,NA,NA,64,NA,NA,NA,"Western Mediterranean"
"FT67701","France","PUFYEL","BAS-23090001","Resident","Complete",2011,NA,NA,NA,NA,NA,NA,NA,NA,"Western Mediterranean"
"FS90347","France","PUFYEL","BAS-23092001","Migrant","Complete",2011,"2011-05-26","2011-06-20","2011-12-10","2011-12-31",68,93,266,287,"Black Sea"
"FS77838","France","PUFYEL","BAS-23093001","Migrant","Complete",2011,"2011-05-27","2011-09-02","2011-11-12","2011-11-18",69,167,238,244,"Black Sea"
"FS56093","France","PUFYEL","BAS-23095001","Migrant","Complete",2011,"2011-05-27","2011-06-10","2011-10-17","2011-11-20",69,83,212,241,"Black Sea"
"FS56093","France","PUFYEL","BAS-23095002","Migrant","Complete",2012,NA,"2012-06-16","2012-10-01","2012-11-15",NA,101,208,253,"Black Sea"
"FS67737","France","PUFYEL","BAS-23097001","Migrant","Complete",2011,NA,"2011-07-10","2011-10-22","2011-10-29",NA,113,217,224,"Aegean Sea"
"FS56064","France","PUFYEL","BAS-23101001","Resident","Complete",2011,"2011-05-27",NA,NA,NA,69,NA,NA,NA,"Western Mediterranean"
"FS74204","France","PUFYEL","BAS-23102001","Migrant","Complete",2011,NA,"2011-06-16","2011-09-03","2011-11-07",NA,89,168,233,"Black Sea"
"FS94953","France","PUFYEL","BAS-23104001","Resident","Complete",2011,"2011-06-07",NA,NA,NA,80,NA,NA,NA,"Western Mediterranean"
"FS56100","France","PUFYEL","BAS-23105001","Migrant","Complete",2011,NA,"2011-06-10","2011-09-30","2011-10-22",NA,83,195,217,"Black Sea"
"FS74204","France","PUFYEL","BAS-25001","Migrant","Complete",2012,NA,"2012-07-15","2012-09-29","2012-11-06",NA,130,206,244,"Black Sea"
"FS77824","France","PUFYEL","BAS-3001","Resident","Complete",2012,NA,NA,NA,NA,NA,NA,NA,NA,"Western Mediterranean"
"FX17946","France","PUFYEL","BAS-4001","Resident","Complete",2012,NA,NA,NA,NA,NA,NA,NA,NA,"Western Mediterranean"
"FS56068","France","PUFYEL","BAS-6001","Resident","Complete",2012,NA,NA,NA,NA,NA,NA,NA,NA,"Western Mediterranean"
"FS74240","France","PUFYEL","BAS-9001","Resident","Complete",2012,NA,NA,NA,NA,NA,NA,NA,NA,"Western Mediterranean"
"5049275","Ibiza","PUFMAU","BASH10291001","Migrant","Complete",2012,"2012-06-21","2012-06-24","2012-10-09","2012-10-29",106,109,216,236,"Alboran Sea"
"5086316","Ibiza","PUFMAU","BASH19985001","Migrant","Complete",2011,"2011-05-07","2011-06-27","2011-11-03","2011-11-14",49,100,229,238,"South European Atlantic Shelf"
"5086316","Ibiza","PUFMAU","BASH19986001","Migrant","Complete",2011,"2011-04-26","2011-07-06","2011-11-08","2011-11-20",38,109,234,246,"South European Atlantic Shelf"
"5071314","Ibiza","PUFMAU","BASH19987001","Migrant","Complete",2011,"2011-04-25","2011-10-12","2011-10-28","2011-10-31",37,207,223,226,"South European Atlantic Shelf"
"5086318","Ibiza","PUFMAU","BASH19988001","Migrant","Complete",2011,"2011-04-27","2011-05-08","2011-11-05","2011-12-17",39,50,231,273,"South European Atlantic Shelf"
"5086319","Ibiza","PUFMAU","BASH19989001","Migrant","Complete",2011,"2011-04-27","2011-05-14","2011-10-05","2011-10-31",39,56,200,218,"South European Atlantic Shelf"
"5086321","Ibiza","PUFMAU","BASH19991001","Migrant","Complete",2011,"2011-05-16","2011-06-24","2011-10-08","2011-10-25",58,97,203,219,"South European Atlantic Shelf"
"5086322","Ibiza","PUFMAU","BASH19992001","Migrant","Complete",2011,"2011-05-14","2011-06-12","2011-12-21","2011-12-25",56,85,277,280,"Saharan Upwelling"
"5086323","Ibiza","PUFMAU","BASH19994001","Migrant","Complete",2011,"2011-05-05","2011-05-28","2011-11-18","2011-11-22",47,70,244,248,"South European Atlantic Shelf"
"5086325","Ibiza","PUFMAU","BASH19995001","Migrant","Complete",2011,"2011-05-03","2011-07-12","2011-12-02","2011-12-04",45,115,258,260,"South European Atlantic Shelf"
"5086327","Ibiza","PUFMAU","BASH19997001","Migrant","Complete",2011,"2011-05-13","2011-06-02","2011-10-12","2011-10-30",55,75,207,225,"South European Atlantic Shelf"
"5086332","Ibiza","PUFMAU","BASH23002001","Migrant","Complete",2011,"2011-04-24","2011-07-05","2011-10-27","2011-11-05",36,108,222,231,"South European Atlantic Shelf"
"5086334","Ibiza","PUFMAU","BASH23005001","Migrant","Complete",2011,"2011-04-29","2011-06-25","2011-10-23","2011-10-26",41,98,218,221,"South European Atlantic Shelf"
"5086339","Ibiza","PUFMAU","BASH23009001","Migrant","Complete",2011,"2011-04-25","2011-06-20","2011-10-06","2011-10-28",37,93,201,215,"South European Atlantic Shelf"
"5086340","Ibiza","PUFMAU","BASH23011001","Migrant","Complete",2011,"2011-04-22","2011-06-14","2011-08-29","2011-11-04",34,87,163,224,"South European Atlantic Shelf"
"5086341","Ibiza","PUFMAU","BASH23012001","Migrant","Complete",2011,"2011-05-10","2011-06-17","2011-10-28","2011-12-04",52,90,223,260,"South European Atlantic Shelf"
"5086342","Ibiza","PUFMAU","BASH23013001","Migrant","Complete",2011,"2011-04-24","2011-06-18","2011-10-18","2011-11-07",36,91,213,214,"South European Atlantic Shelf"
"5086343","Ibiza","PUFMAU","BASH23014001","Migrant","Complete",2011,"2011-04-21","2011-06-22","2011-10-07","2011-10-20",33,95,202,215,"South European Atlantic Shelf"
