"Ring","Colony","Sp","geo_trip","Migration","BA_dep_date","WA_A_arr_date","WA_A_dep_date","WA_B_arr_date","WA_B_dep_date","BA_arr_date","complete","year_dep","WA"
"FS77838","FRANCE","PUFYEL","BAS-23093001","Migrant","2011-07-12T03:50:05Z","2011-09-02T16:37:39Z","2011-11-12T14:41:24Z",NA,NA,"2011-11-18T05:47:54Z","Complete",2011,"Black Sea"
"FS56093","FRANCE","PUFYEL","BAS-23095001","Migrant","2011-06-03T03:04:56Z","2011-06-10T17:46:15Z","2011-10-17T03:45:30Z",NA,NA,"2011-11-20T16:41:15Z","Complete",2011,"Black Sea"
"FS56093","FRANCE","PUFYEL","BAS-23095002","Migrant","2012-06-02T03:34:15Z","2012-06-16T17:56:15Z","2012-10-01T15:34:57Z",NA,NA,"2012-11-15T06:14:08Z","Complete",2012,"Black Sea"
"FS67737","FRANCE","PUFYEL","BAS-23097001","Migrant","2011-07-02T19:35:45Z","2011-07-10T02:58:33Z","2011-10-22T04:18:55Z",NA,NA,"2011-10-29T05:48:39Z","Complete",2011,"Aegean Sea"
"FS56064","FRANCE","PUFYEL","BAS-23101001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2011,"Western Mediterranean"
"FS74204","FRANCE","PUFYEL","BAS-23102001","Migrant","2011-05-28T03:55:58Z","2011-06-16T17:44:09Z","2011-09-03T16:30:37Z",NA,NA,"2011-11-07T06:05:58Z","Complete",2011,"Black Sea"
"FS94953","FRANCE","PUFYEL","BAS-23104001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2011,"Western Mediterranean"
"FS56100","FRANCE","PUFYEL","BAS-23105001","Migrant","2011-05-28T03:48:55Z","2011-06-10T17:52:40Z","2011-09-30T04:04:52Z",NA,NA,"2011-10-22T03:43:56Z","Complete",2011,"Black Sea"
"FS74204","FRANCE","PUFYEL","BAS-25001","Migrant","2012-07-04T19:55:15Z","2012-07-15T17:52:28Z","2012-09-29T03:16:52Z",NA,NA,"2012-11-06T05:44:47Z","Complete",2012,"Black Sea"
"FS77824","FRANCE","PUFYEL","BAS-3001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2012,"Western Mediterranean"
"FX17946","FRANCE","PUFYEL","BAS-4001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2012,"Western Mediterranean"
"FS56068","FRANCE","PUFYEL","BAS-6001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2012,"Western Mediterranean"
"FS74240","FRANCE","PUFYEL","BAS-9001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2012,"Western Mediterranean"
"5049275","IBIZA","PUFMAU","BASH10291001","Migrant","2012-06-23T04:00:00Z","2012-06-24T19:59:03Z","2012-10-09T18:29:15Z",NA,NA,"2012-10-29T05:59:07Z","Complete",2012,"Alboran Sea"
"5086316","IBIZA","PUFMAU","BASH19985001","Migrant","2011-06-25T04:01:46Z","2011-06-27T20:20:04Z","2011-11-03T17:44:24Z",NA,NA,"2011-11-14T06:15:44Z","Complete",2011,"South European Atlantic Shelf"
"5086316","IBIZA","PUFMAU","BASH19986001","Migrant","2011-06-04T04:11:45Z","2011-07-06T20:40:31Z","2011-11-08T06:26:49Z",NA,NA,"2011-11-20T06:28:54Z","Complete",2011,"South European Atlantic Shelf"
"5071314","IBIZA","PUFMAU","BASH19987001","Migrant","2011-05-16T04:21:44Z","2011-10-12T06:17:01Z","2011-10-28T17:56:09Z",NA,NA,"2011-10-31T17:23:39Z","Complete",2011,"South European Atlantic Shelf"
"5086318","IBIZA","PUFMAU","BASH19988001","Migrant","2011-05-06T04:29:10Z","2011-05-08T19:56:48Z","2011-11-05T17:53:10Z",NA,NA,"2011-12-17T06:53:14Z","Complete",2011,"South European Atlantic Shelf"
"5086319","IBIZA","PUFMAU","BASH19989001","Migrant","2011-05-06T04:16:19Z","2011-05-14T20:09:12Z","2011-10-05T06:15:23Z",NA,NA,"2011-10-31T17:23:57Z","Complete",2011,"South European Atlantic Shelf"
"5086321","IBIZA","PUFMAU","BASH19991001","Migrant","2011-06-22T19:46:15Z","2011-06-24T20:11:45Z","2011-10-08T18:16:10Z",NA,NA,"2011-10-25T05:56:32Z","Complete",2011,"South European Atlantic Shelf"
"5086322","IBIZA","PUFMAU","BASH19992001","Migrant","2011-06-01T04:27:45Z","2011-06-12T20:32:48Z","2011-12-21T07:13:03Z",NA,NA,"2011-12-25T07:00:03Z","Complete",2011,"Saharan Upwelling"
"5086323","IBIZA","PUFMAU","BASH19994001","Migrant","2011-05-14T19:26:51Z","2011-05-28T20:24:06Z","2011-11-18T07:04:59Z",NA,NA,"2011-11-22T06:32:06Z","Complete",2011,"South European Atlantic Shelf"
"5086325","IBIZA","PUFMAU","BASH19995001","Migrant","2011-06-30T19:51:24Z","2011-07-12T20:13:44Z","2011-12-02T17:27:01Z",NA,NA,"2011-12-04T06:39:24Z","Complete",2011,"South European Atlantic Shelf"
"5086327","IBIZA","PUFMAU","BASH19997001","Migrant","2011-05-31T19:42:10Z","2011-06-02T20:25:45Z","2011-10-12T06:17:47Z",NA,NA,"2011-10-30T05:59:45Z","Complete",2011,"South European Atlantic Shelf"
"5086332","IBIZA","PUFMAU","BASH23002001","Migrant","2011-06-30T04:25:28Z","2011-07-05T20:29:19Z","2011-10-27T17:57:43Z",NA,NA,"2011-11-05T17:13:06Z","Complete",2011,"South European Atlantic Shelf"
"5086334","IBIZA","PUFMAU","BASH23005001","Migrant","2011-06-23T04:10:48Z","2011-06-25T04:44:40Z","2011-10-23T06:35:48Z",NA,NA,"2011-10-26T17:34:28Z","Complete",2011,"South European Atlantic Shelf"
"5086339","IBIZA","PUFMAU","BASH23009001","Migrant","2011-06-17T04:25:10Z","2011-06-20T20:13:37Z","2011-10-06T18:26:48Z",NA,NA,"2011-10-28T05:59:33Z","Complete",2011,"South European Atlantic Shelf"
"5086340","IBIZA","PUFMAU","BASH23011001","Migrant","2011-06-10T19:44:35Z","2011-06-14T20:29:41Z","2011-08-29T19:33:24Z",NA,NA,"2011-11-04T06:14:26Z","Complete",2011,"South European Atlantic Shelf"
"5086341","IBIZA","PUFMAU","BASH23012001","Migrant","2011-06-09T19:49:30Z","2011-06-17T03:50:52Z","2011-10-28T06:19:22Z",NA,NA,"2011-12-04T06:40:15Z","Complete",2011,"South European Atlantic Shelf"
"5086342","IBIZA","PUFMAU","BASH23013001","Migrant","2011-06-16T04:36:37Z","2011-06-18T20:35:18Z","2011-10-18T06:00:40Z",NA,NA,"2011-11-07T17:09:03Z","Complete",2011,"South European Atlantic Shelf"
"5086343","IBIZA","PUFMAU","BASH23014001","Migrant","2011-06-20T19:54:36Z","2011-06-22T20:13:21Z","2011-10-07T06:05:31Z",NA,NA,"2011-10-20T17:30:22Z","Complete",2011,"South European Atlantic Shelf"
"5086345","IBIZA","PUFMAU","BASH23016001","Migrant","2011-06-12T04:32:00Z","2011-08-19T19:39:15Z","2011-10-11T06:16:22Z",NA,NA,"2011-10-15T17:44:40Z","Complete",2011,"South European Atlantic Shelf"
"5086346","IBIZA","PUFMAU","BASH23017001","Migrant","2011-06-10T19:37:04Z","2011-06-20T20:18:36Z","2011-10-22T06:32:11Z",NA,NA,"2011-11-05T06:11:55Z","Complete",2011,"South European Atlantic Shelf"
"5049267","IBIZA","PUFMAU","BASH23022001","Migrant","2011-05-18T04:13:58Z","2011-05-21T04:58:43Z","2011-08-13T19:43:24Z",NA,NA,"2011-08-24T05:29:51Z","Complete",2011,"South European Atlantic Shelf"
"5049268","IBIZA","PUFMAU","BASH23023001","Migrant","2011-09-26T18:20:03Z","2011-10-21T18:27:14Z","2011-11-26T18:02:03Z",NA,NA,"2011-12-01T17:05:40Z","Complete",2011,"Saharan Upwelling"
"5073533","MALLORCA","PUFMAU","BC709001001","Migrant","2018-05-30T19:54:57Z","2018-06-06T20:39:41Z","2018-09-09T19:23:53Z",NA,NA,"2018-09-12T18:44:41Z","Complete",2018,"South European Atlantic Shelf"
"5107147","MALLORCA","PUFMAU","BD250001001","Migrant","2018-06-01T03:59:02Z","2018-06-09T03:50:06Z","2018-10-12T17:54:10Z",NA,NA,"2018-11-10T06:04:18Z","Complete",2018,"South European Atlantic Shelf"
"5068534","MALLORCA","PUFMAU","BD251001001","Migrant","2018-06-21T03:53:13Z","2018-06-23T20:41:48Z","2018-09-08T19:27:12Z",NA,NA,"2018-09-19T05:22:01Z","Complete",2018,"South European Atlantic Shelf"
"5068560","MALLORCA","PUFMAU","BD257001001","Migrant","2018-06-21T03:52:44Z","2018-06-25T20:26:19Z","2018-08-26T19:46:19Z",NA,NA,"2018-10-24T05:37:44Z","Complete",2018,"Saharan Upwelling"
"RX00230","MALLORCA","PUFMAU","BD260001001","Migrant","2018-05-26T03:54:31Z","2018-06-10T03:29:31Z","2018-09-13T05:18:19Z",NA,NA,"2018-09-20T18:32:18Z","Complete",2018,"South European Atlantic Shelf"
"5131657","MALLORCA","PUFMAU","BD261001001","Migrant","2018-06-23T03:46:26Z","2018-07-02T03:45:09Z","2018-10-19T05:55:06Z",NA,NA,"2018-10-21T05:40:38Z","Complete",2018,"South European Atlantic Shelf"
"RX00193","MALLORCA","PUFMAU","BD264001001","Migrant","2018-07-05T03:50:10Z","2018-07-21T20:44:21Z","2018-09-30T18:29:21Z",NA,NA,"2018-10-01T18:15:25Z","Complete",2018,"South European Atlantic Shelf"
"5107124","MALLORCA","PUFMAU","BD266001001","Migrant","2018-05-10T04:04:42Z","2018-05-22T03:48:54Z","2018-08-28T04:58:54Z",NA,NA,"2018-09-10T05:03:54Z","Complete",2018,"South European Atlantic Shelf"
"5142420","MALLORCA","PUFMAU","BD270001001","Migrant","2018-07-10T04:42:38Z","2018-07-13T04:47:54Z","2018-08-08T05:08:42Z",NA,NA,NA,"Uncomplete",2018,NA
"5142596","MALLORCA","PUFMAU","BD562001001","Migrant","2018-06-26T03:40:05Z","2018-07-02T20:23:40Z","2018-08-25T05:29:17Z",NA,NA,"2018-11-02T17:33:40Z","Complete",2018,"Saharan Upwelling"
"5131655","MALLORCA","PUFMAU","BD575001001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2018,"Western Mediterranean"
"5120176","MALLORCA","PUFMAU","BF840001001","Migrant","2018-05-23T19:51:27Z","2018-05-31T20:36:11Z","2018-08-29T19:46:46Z",NA,NA,"2018-09-16T05:06:19Z","Complete",2018,"South European Atlantic Shelf"
"5048326","MALLORCA","PUFMAU","BF841001001","Migrant","2018-06-24T20:04:15Z","2018-06-29T20:34:15Z","2018-09-21T05:58:48Z",NA,NA,"2018-09-28T18:13:46Z","Complete",2018,"South European Atlantic Shelf"
"RX30387","MALLORCA","PUFMAU","BG848001001","Migrant","2018-06-16T03:41:44Z","2018-07-06T21:11:47Z","2018-10-15T17:41:55Z",NA,NA,"2018-11-01T17:26:47Z","Complete",2018,"South European Atlantic Shelf"
"5142418","MALLORCA","PUFMAU","BG850001001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2018,"Western Mediterranean"
"5105219","MALLORCA","PUFMAU","BK738001001","Migrant","2018-06-22T03:42:29Z","2018-06-26T03:32:29Z","2018-10-02T18:36:04Z",NA,NA,"2018-10-03T18:16:20Z","Complete",2018,"South European Atlantic Shelf"
"RX00196","MALLORCA","PUFMAU","BK739001001","Migrant","2018-06-19T03:50:09Z","2018-07-03T21:02:56Z","2018-08-27T19:48:44Z",NA,NA,"2018-10-29T17:37:56Z","Complete",2018,"South European Atlantic Shelf"
"5073668","MALLORCA","PUFMAU","BK740001001","Migrant","2018-06-17T03:49:17Z","2018-06-22T20:47:52Z","2018-09-07T05:34:17Z",NA,NA,"2018-09-12T05:03:29Z","Complete",2018,"South European Atlantic Shelf"
"5120239","MALLORCA","PUFMAU","BK743001001","Migrant","2018-06-23T03:54:09Z","2018-07-27T03:55:21Z","2018-11-26T06:29:33Z",NA,NA,"2018-11-26T16:49:12Z","Complete",2018,"South European Atlantic Shelf"
"RX03334","MALLORCA","PUFMAU","BK753001001","Migrant","2018-06-04T20:02:37Z","2018-06-16T03:53:46Z","2018-09-22T05:34:02Z",NA,NA,"2018-09-24T05:08:38Z","Complete",2018,"South European Atlantic Shelf"
"5048471","MALLORCA","PUFMAU","BK757001001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2018,"Western Mediterranean"
"RX00192","MALLORCA","PUFMAU","BK765001001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2018,"Western Mediterranean"
"TJ3263","SARDINIA","PUFYEL","BV894001001","Migrant","2021-08-11T04:07:22Z","2021-08-19T03:16:18Z","2021-09-09T17:08:27Z","2021-09-25T16:26:14Z","2021-12-11T04:26:08Z","2021-12-17T06:02:25Z","Complete",2021,"Aegean Sea"
"EE06551","MALTA","PUFYEL","BV895001001","Migrant","2021-05-25T03:24:57Z","2021-08-21T16:43:36Z","2021-10-17T15:02:26Z",NA,NA,"2021-10-28T04:59:16Z","Complete",2021,"Black Sea"
"RX07398","MINORCA","PUFYEL","BV900001001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2021,"Western Mediterranean"
"E013655","GREECE","PUFYEL","BV900002001","Migrant","2022-08-21T17:05:22Z","2022-08-22T16:50:25Z","2022-11-21T04:19:32Z",NA,NA,NA,"Uncomplete",2022,"Black Sea"
"E003630","GREECE","PUFYEL","BV904001001","Migrant","2021-09-07T00:00:00Z","2021-09-09T00:00:00Z","2022-02-21T00:00:00Z",NA,NA,"2022-02-23T00:00:00Z","Complete",2021,"Black Sea"
"RX07426","MINORCA","PUFYEL","BW086001001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2021,"Western Mediterranean"
"TJ4890","SARDINIA","PUFYEL","BW090001001","Migrant","2021-06-30T19:17:53Z","2021-07-12T18:08:01Z","2021-12-11T04:33:50Z",NA,NA,"2022-01-06T06:08:48Z","Complete",2021,"Black Sea"
"E013688","GREECE","PUFYEL","BW093001001","Migrant","2021-07-30T02:24:02Z","2021-07-31T17:54:10Z","2022-02-24T00:00:00Z",NA,NA,"2022-02-26T00:00:00Z","Complete",2021,"Black Sea"
"TJ3262","SARDINIA","PUFYEL","BW096001001","Migrant","2021-06-09T03:37:10Z","2021-06-26T18:05:52Z","2021-10-17T15:18:31Z",NA,NA,"2021-11-08T05:29:29Z","Complete",2021,"Black Sea"
"E013661","GREECE","PUFYEL","BW096002001","Migrant","2022-07-23T17:55:33Z","2022-08-22T17:14:51Z","2022-11-30T19:49:40Z",NA,NA,NA,"Uncomplete",2022,"Black Sea"
"E013703","GREECE","PUFYEL","BW099001001","Migrant","2021-08-12T02:18:35Z","2021-08-16T17:23:54Z","2022-02-25T00:00:00Z",NA,NA,"2022-02-26T00:00:00Z","Complete",2021,"Black Sea"
"E013703","GREECE","PUFYEL","BW099001002","Migrant",NA,NA,NA,NA,NA,NA,"Uncomplete",2022,"Black Sea"
"TM0082","SARDINIA","PUFYEL","BW100001001","Migrant","2021-07-16T19:21:33Z","2021-09-25T15:47:39Z","2021-12-13T14:22:50Z",NA,NA,"2022-01-01T06:07:15Z","Complete",2021,"Black Sea"
"RX07393","MINORCA","PUFYEL","BW101001001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2021,"Western Mediterranean"
"EE02242","MALTA","PUFYEL","BW104001001","Migrant","2021-05-22T03:35:49Z","2021-06-04T17:59:53Z","2021-10-23T03:34:32Z",NA,NA,"2021-11-07T04:59:46Z","Complete",2021,"Black Sea"
"T86676","SARDINIA","PUFYEL","BW106001001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2021,"Western Mediterranean"
"EE02052","MALTA","PUFYEL","BW107001001","Migrant","2021-05-24T00:00:00Z","2021-05-29T00:00:00Z","2021-10-25T00:00:00Z",NA,NA,"2021-10-27T00:00:00Z","Complete",2021,"Black Sea"
"EE02052","MALTA","PUFYEL","BW107001002","Migrant","2022-07-02T03:32:48Z","2022-07-04T02:41:31Z","2022-08-04T17:25:35Z",NA,NA,NA,"Uncomplete",2022,"Black Sea"
"TJ3268","SARDINIA","PUFYEL","BW108001001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2021,"Western Mediterranean"
"EE03010","MALTA","PUFYEL","BW110001001","Migrant","2021-05-17T18:44:40Z","2021-05-28T18:08:27Z","2021-10-26T15:22:29Z",NA,NA,"2021-11-14T05:07:03Z","Complete",2021,"Black Sea"
"EE02730","MALTA","PUFYEL","BW114001001","Migrant","2021-07-09T03:19:51Z","2021-07-19T17:52:35Z","2021-12-07T04:18:25Z",NA,NA,"2021-12-19T00:00:00Z","Complete",2021,"Black Sea"
"TJ4780","SARDINIA","PUFYEL","BW116001001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2021,"Western Mediterranean"
"EE02598","MALTA","PUFYEL","BW117001001","Migrant","2021-05-29T03:42:11Z","2021-06-04T01:33:42Z","2021-10-26T03:38:23Z",NA,NA,"2021-11-05T16:41:08Z","Complete",2021,"Black Sea"
"RX07400","MINORCA","PUFYEL","BW118001001","Migrant","2021-07-18T03:50:57Z","2021-07-24T20:40:44Z","2021-10-05T05:41:42Z",NA,NA,"2021-11-03T05:46:41Z","Complete",2021,"South European Atlantic Shelf"
"EE04228","MALTA","PUFYEL","BW119001001","Migrant","2021-07-29T03:10:42Z","2021-08-04T02:56:14Z","2022-01-29T04:56:59Z",NA,NA,"2022-01-30T00:00:00Z","Complete",2021,"Black Sea"
NA,"MALTA","PUFYEL","BW121001001","Migrant","2021-06-11T18:55:38Z","2021-06-16T18:25:13Z","2021-10-08T03:20:03Z",NA,NA,"2021-10-14T04:40:17Z","Complete",2021,"Black Sea"
"RX03600","MINORCA","PUFYEL","BW123001001","Migrant","2021-06-06T03:34:02Z","2021-06-10T03:52:50Z","2021-11-29T16:41:49Z",NA,NA,"2021-12-14T17:02:07Z","Complete",2021,"Alboran Sea"
"T86675","SARDINIA","PUFYEL","BW125001001","Migrant","2021-06-06T03:35:15Z","2021-06-21T18:02:50Z","2021-11-30T04:26:44Z",NA,NA,"2021-12-20T16:26:56Z","Complete",2021,"Black Sea"
"LS04027","CROATIA","PUFYEL","BW126001001","Migrant","2021-07-11T02:51:32Z","2021-07-17T01:46:03Z","2021-10-31T04:06:12Z",NA,NA,"2021-11-09T13:55:11Z","Complete",2021,"Black Sea"
"EE04659","MALTA","PUFYEL","BW128001001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2021,"Central Mediterranean"
"TJ3283","SARDINIA","PUFYEL","BW129001001","Migrant","2021-05-27T18:34:39Z","2021-05-31T18:14:13Z","2021-08-06T02:00:00Z",NA,NA,"2021-09-08T18:07:27Z","Complete",2021,"Black Sea"
"E003638","GREECE","PUFYEL","BW134001001","Migrant","2021-06-28T00:00:00Z","2021-06-29T00:00:00Z","2022-02-26T00:00:00Z",NA,NA,"2022-03-01T00:00:00Z","Complete",2021,"Black Sea"
"LS06371","CROATIA","PUFYEL","BW136001001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2021,"Adriatic Sea"
"LA19214","CROATIA","PUFYEL","BW176001001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2021,"Adriatic Sea"
"LS06188","CROATIA","PUFYEL","BW773001001","Migrant","2021-07-09T03:02:15Z","2021-07-17T18:15:50Z","2021-12-02T14:41:20Z",NA,NA,"2021-12-08T05:57:10Z","Complete",2021,"Black Sea"
"LS06061","CROATIA","PUFYEL","BW774001001","Migrant","2021-07-11T02:45:22Z","2021-07-19T01:46:10Z","2021-10-26T15:20:09Z",NA,NA,"2021-11-02T05:15:06Z","Complete",2021,"Black Sea"
"EE03611","MALTA","PUFYEL","BW779001001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2021,"Central Mediterranean"
"EE03611","MALTA","PUFYEL","BW779001002","Resident",NA,NA,NA,NA,NA,NA,"Complete",2022,"Central Mediterranean"
"E003625","GREECE","PUFYEL","BW781001001","Migrant","2021-09-24T03:28:31Z","2021-09-24T15:58:34Z","2022-01-08T15:03:20Z",NA,NA,"2022-01-13T05:04:30Z","Complete",2021,"Black Sea"
"LA20072","CROATIA","PUFYEL","BW785001001","Migrant","2021-07-14T19:04:56Z","2021-07-21T01:54:32Z","2021-12-03T14:48:37Z",NA,NA,"2021-12-10T05:35:02Z","Complete",2021,"Black Sea"
"E003634","GREECE","PUFYEL","BW789001001","Migrant","2021-08-20T03:11:49Z","2021-08-30T02:31:01Z","2022-02-20T15:54:36Z",NA,NA,"2022-02-26T04:10:45Z","Complete",2021,"Black Sea"
"LS06112","CROATIA","PUFYEL","BW792001001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2021,"Adriatic Sea"
"LS04074","CROATIA","PUFYEL","BW797001001","Migrant","2021-06-24T02:39:12Z","2021-07-06T18:11:59Z","2021-10-16T15:28:19Z",NA,NA,"2021-10-23T16:38:22Z","Complete",2021,"Black Sea"
"LA19235","CROATIA","PUFYEL","BW800001001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2021,"Adriatic Sea"
